2,NAMESPACE_BLOCK,<empty>,,<unknown>,<global>,,<global>,1
11,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/about.php,/home/kali/Desktop/RA/DVWA/about.php:<global>,,<global>,1
193,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/dvwa/includes/DBMS/MySQL.php,/home/kali/Desktop/RA/DVWA/dvwa/includes/DBMS/MySQL.php:<global>,,<global>,1
524,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/dvwa/includes/DBMS/PGSQL.php,/home/kali/Desktop/RA/DVWA/dvwa/includes/DBMS/PGSQL.php:<global>,,<global>,1
2524,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/dvwa/includes/Parsedown.php,/home/kali/Desktop/RA/DVWA/dvwa/includes/Parsedown.php:<global>,,<global>,1
8003,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/dvwa/includes/dvwaPage.inc.php,/home/kali/Desktop/RA/DVWA/dvwa/includes/dvwaPage.inc.php:<global>,,<global>,1
9780,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/external/recaptcha/recaptchalib.php,/home/kali/Desktop/RA/DVWA/external/recaptcha/recaptchalib.php:<global>,,<global>,1
9864,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/hackable/flags/fi.php,/home/kali/Desktop/RA/DVWA/hackable/flags/fi.php:<global>,,<global>,1
9917,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/index.php,/home/kali/Desktop/RA/DVWA/index.php:<global>,,<global>,1
10062,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/instructions.php,/home/kali/Desktop/RA/DVWA/instructions.php:<global>,,<global>,1
10323,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/login.php,/home/kali/Desktop/RA/DVWA/login.php:<global>,,<global>,1
10528,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/logout.php,/home/kali/Desktop/RA/DVWA/logout.php:<global>,,<global>,1
10559,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/phpinfo.php,/home/kali/Desktop/RA/DVWA/phpinfo.php:<global>,,<global>,1
10637,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/security.php,/home/kali/Desktop/RA/DVWA/security.php:<global>,,<global>,1
10860,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/setup.php,/home/kali/Desktop/RA/DVWA/setup.php:<global>,,<global>,1
11051,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/change_user_details.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/change_user_details.php:<global>,,<global>,1
11239,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/get_user_data.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/get_user_data.php:<global>,,<global>,1
11338,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/help/help.php:<global>,,<global>,1
11386,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/index.php:<global>,,<global>,1
11480,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/source/high.php:<global>,,<global>,1
11495,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/source/impossible.php:<global>,,<global>,1
11510,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/source/low.php:<global>,,<global>,1
11515,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/authbypass/source/medium.php:<global>,,<global>,1
11530,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/help/help.php:<global>,,<global>,1
11577,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/index.php:<global>,,<global>,1
11755,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/source/high.php:<global>,,<global>,1
12003,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/source/impossible.php:<global>,,<global>,1
12249,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/source/low.php:<global>,,<global>,1
12377,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/brute/source/medium.php:<global>,,<global>,1
12496,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/help/help.php:<global>,,<global>,1
12558,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/index.php:<global>,,<global>,1
12807,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/source/high.php:<global>,,<global>,1
13007,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/source/impossible.php:<global>,,<global>,1
13229,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/source/low.php:<global>,,<global>,1
13445,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/captcha/source/medium.php:<global>,,<global>,1
13608,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/help/help.php:<global>,,<global>,1
13654,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/index.php:<global>,,<global>,1
13768,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/high.php:<global>,,<global>,1
13809,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/impossible.php:<global>,,<global>,1
13846,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/jsonp.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/jsonp.php:<global>,,<global>,1
13882,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/jsonp_impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/jsonp_impossible.php:<global>,,<global>,1
13911,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/low.php:<global>,,<global>,1
13946,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csp/source/medium.php:<global>,,<global>,1
13974,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/help/help.php:<global>,,<global>,1
14017,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/index.php:<global>,,<global>,1
14221,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/source/high.php:<global>,,<global>,1
14427,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/source/impossible.php:<global>,,<global>,1
14575,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/source/low.php:<global>,,<global>,1
14701,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/source/medium.php:<global>,,<global>,1
14849,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/test_credentials.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/csrf/test_credentials.php:<global>,,<global>,1
14954,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/help/help.php:<global>,,<global>,1
14996,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/index.php:<global>,,<global>,1
15141,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/source/high.php:<global>,,<global>,1
15249,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/source/impossible.php:<global>,,<global>,1
15349,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/source/low.php:<global>,,<global>,1
15404,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/exec/source/medium.php:<global>,,<global>,1
15454,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/file1.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/file1.php:<global>,,<global>,1
15491,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/file2.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/file2.php:<global>,,<global>,1
15533,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/file3.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/file3.php:<global>,,<global>,1
15613,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/file4.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/file4.php:<global>,,<global>,1
15622,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/help/help.php:<global>,,<global>,1
15666,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/include.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/include.php:<global>,,<global>,1
15732,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/index.php:<global>,,<global>,1
15821,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/source/high.php:<global>,,<global>,1
15848,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/source/impossible.php:<global>,,<global>,1
15876,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/source/low.php:<global>,,<global>,1
15898,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/source/medium.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/fi/source/medium.php:<global>,,<global>,1
15932,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/help/help.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/help/help.php:<global>,,<global>,1
16008,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/index.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/index.php:<global>,,<global>,1
16207,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/source/high.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/source/high.php:<global>,,<global>,1
16222,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/source/impossible.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/source/impossible.php:<global>,,<global>,1
16229,NAMESPACE_BLOCK,<empty>,,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/source/low.php,/home/kali/Desktop/RA/DVWA/vulnerabilities/javascript/source/low.php:<global>,,<global>,1
